mkt_id,output_own_price,output_own_cost,output_comp_price,output_own_profits,output_X,output_own_share,output_own_sales,day
13777,6.71,5.99,6.64,0.1440001,68.54,0.4965786,0.2,3
7319,6.71,5.98,6.79,1.3578,46.58,0.5838168,1.86,23
7106,7.06,5.98,6.99,2.6136,62.6,0.4813391,2.42,13
4896,7.12,6.11,7.01,1.2524,70.16,0.5885254,1.24,17
5142,6.78,6.0,6.71,3.018601,36.86,0.5775302,3.87,15
2485,7.07,5.95,7.01,1.5904,65.48,0.3748457,1.42,12
603,7.22,6.12,7.24,23.144,37.76,0.5301512,21.04,20
154,6.73,6.02,6.73,0.1065,63.86,0.4785469,0.15,25
167,6.71,6.0,6.68,0.0852,74.12,0.494043,0.12,10
5371,6.68,5.91,6.71,1.2397,41.0,0.4221181,1.61,6
3875,7.01,6.06,6.96,5.272502,53.6,0.4288588,5.55,25
7329,6.77,5.93,6.83,4.3848,32.54,0.5099497,5.22,3
183,7.01,5.94,7.15,6.976401,49.46,0.4017346,6.52,4
5349,7.07,6.07,6.97,6.37,52.88,0.5823092,6.37,19
7412,6.77,6.04,6.7,2.2119,36.68,0.481768,3.03,14
7330,7.23,6.02,7.18,13.9513,38.12,0.3281789,11.53,15
13777,6.97,6.01,6.96,1.411199,69.44,0.4598881,1.47,14
2306,7.25,5.99,7.16,15.8382,38.66,0.3784554,12.57,20
7394,7.08,5.98,6.99,0.8799999,77.36,0.5358841,0.8,25
131,6.76,6.07,6.7,3.6363,34.16,0.5324875,5.27,24
7329,6.75,6.03,6.7,0.1296,65.84,0.4961469,0.18,13
7187,6.95,5.89,7.06,5.6604,58.82,0.5875199,5.34,20
5404,7.2,5.96,7.17,22.5184,37.04,0.5084876,18.16,19
2704,6.99,6.02,6.99,1.0282,71.96,0.5870633,1.06,4
15000,6.7,6.0,6.7,1.701,41.72,0.4731897,2.43,10
5109,6.99,6.02,7.0,1.7654,69.44,0.7160669,1.82,7
2704,7.06,6.03,7.05,5.345699,54.68,0.5145878,5.19,9
15555,6.96,5.95,6.97,0.6363001,78.44,0.5223095,0.63,23
15555,6.75,6.0,6.67,3.8625,32.36,0.5045577,5.15,16
2700,7.09,5.94,7.02,5.0945,54.14,0.3701624,4.43,23
7341,6.98,6.1,7.09,1.9448,64.76,0.5285349,2.21,23
7432,7.19,6.05,7.08,7.033799,48.56,0.352144,6.17,21
78,7.15,6.02,7.16,12.8933,45.32,0.4828476,11.41,4
2812,6.75,6.02,6.64,0.1679,67.1,0.5373809,0.23,9
164,6.72,6.01,6.8,1.789199,41.36,0.5223683,2.52,3
5397,7.04,5.94,6.92,2.387,65.12,0.417385,2.17,16
7394,7.08,5.96,7.19,17.6736,43.7,0.5605012,15.78,5
7432,7.09,5.96,7.01,4.802501,58.1,0.5511872,4.25,14
2700,6.96,5.94,7.08,1.7646,70.16,0.600561,1.73,5
4887,7.23,6.08,7.2,15.295,39.02,0.4566957,13.3,4
7075,6.78,6.07,6.67,0.0568,70.52,0.3174788,0.08,7
7394,6.86,6.14,6.69,0.0432,73.4,0.3391553,0.06,31
183,6.84,6.12,6.69,0.4104002,51.26,0.3420432,0.57,6
3875,6.79,5.98,6.64,2.1303,39.56,0.4572424,2.63,24
15555,7.14,6.04,7.03,8.898999,49.82,0.5410696,8.09,21
183,6.71,5.99,6.72,0.3744001,54.68,0.5651174,0.52,20
5099,7.2,5.97,7.15,8.942101,45.86,0.4605347,7.27,29
5371,6.74,5.94,6.67,1.551999,44.42,0.4814898,1.94,3
131,7.29,6.06,7.29,23.4069,35.42,0.5026078,19.03,2
4911,7.01,6.08,6.97,1.934401,66.02,0.4902512,2.08,15
7432,6.83,5.98,6.8,3.842,31.1,0.3884554,4.52,29
7412,7.0,6.0,7.07,2.88,61.88,0.5885918,2.88,13
150,7.38,6.03,7.4,35.64,28.4,0.5071737,26.4,22
2290,7.15,6.07,7.05,5.659199,52.88,0.3972183,5.24,17
4887,6.64,5.92,6.69,0.2231999,65.12,0.6227053,0.31,22
7396,6.77,6.05,6.72,0.2879999,60.8,0.6220313,0.4,14
7341,7.27,5.97,7.33,31.35601,34.7,0.5109704,24.12,6
2306,7.02,5.99,7.04,3.100301,59.0,0.4083008,3.01,23
7374,6.75,6.02,6.76,0.1168,69.62,0.6685724,0.16,16
4911,6.95,6.03,7.05,4.149199,56.66,0.5224568,4.51,19
5029,7.06,6.06,7.06,7.92,47.84,0.421901,7.92,5
2290,6.84,6.12,6.66,0.0288,78.8,0.3627253,0.04,29
44,7.11,6.05,7.09,2.0352,64.58,0.4657858,1.92,15
7389,6.76,6.03,6.76,1.5549,41.36,0.5704953,2.13,9
2306,7.32,6.04,7.32,28.48001,35.06,0.4970159,22.25,30
13777,6.66,5.98,6.82,0.068,75.92,0.6233231,0.1,2
2700,6.75,6.03,6.81,0.1152,66.74,0.5147656,0.16,13
7106,6.96,5.97,7.06,1.2078,72.14,0.5304797,1.22,8
3875,7.44,6.01,7.37,21.7789,32.0,0.360131,15.23,14
91,7.27,6.08,7.1,23.3954,38.12,0.5762494,19.66,8
5404,6.75,6.03,6.8,1.2096,39.38,0.5340998,1.68,23
7329,7.07,6.04,6.98,2.193901,61.88,0.4193368,2.13,24
2290,7.2,6.08,7.1,11.3456,45.86,0.4615764,10.13,4
3875,6.73,6.05,6.71,1.2716,40.46,0.3677821,1.87,15
7075,7.29,6.04,7.1,20.0,38.48,0.4504781,16.0,18
131,6.73,5.98,6.76,3.465,34.7,0.5664467,4.62,5
5099,7.09,6.05,7.16,8.8712,47.48,0.4852205,8.53,1
5404,6.77,5.99,6.71,0.0936,67.28,0.5604659,0.12,26
5349,6.66,5.98,6.84,0.3331999,55.4,0.4406362,0.49,20
78,6.8,5.91,6.63,0.1691001,65.84,0.5115244,0.19,19
3875,7.12,6.0,7.05,1.5344,69.98,0.6069597,1.37,9
2261,7.28,6.08,7.16,16.188,37.4,0.3537014,13.49,12
7106,7.05,6.04,6.97,0.6060002,80.42,0.4888427,0.6,29
7389,7.18,5.99,7.23,18.921,37.4,0.4550721,15.9,25
7329,7.27,5.97,7.22,18.005,39.38,0.4727733,13.85,26
150,6.61,5.88,6.72,1.9929,43.88,0.5789459,2.73,9
2261,7.19,5.98,7.19,29.0279,36.32,0.5952024,23.99,26
5279,7.52,6.06,7.4,27.4918,29.66,0.4177127,18.83,25
2704,7.05,5.99,7.1,1.0812,70.7,0.5342041,1.02,20
4887,6.7,6.1,6.81,2.7,32.36,0.4169522,4.5,10
5029,7.11,5.96,7.06,9.1885,50.9,0.5177531,7.99,11
44,7.12,6.0,7.14,12.3984,45.68,0.4949973,11.07,7
150,7.16,5.93,7.1,16.8879,44.78,0.6173537,13.73,29
7329,6.68,5.96,6.77,1.1664,46.94,0.5322232,1.62,2
183,6.73,5.99,6.71,3.307801,35.6,0.4609334,4.47,23
4896,7.14,6.05,7.17,19.72899,41.36,0.5445142,18.1,14
167,7.22,5.98,7.07,17.3848,42.62,0.4481287,14.02,13
2700,7.05,6.0,6.91,5.124001,58.46,0.5307797,4.88,30
2704,6.73,6.03,6.66,0.042,78.8,0.4239722,0.06,23
13674,7.02,6.09,7.01,2.6877,64.04,0.4860485,2.89,24
131,7.13,5.99,7.31,24.29341,32.36,0.4542237,21.31,13
13777,7.3,6.03,7.48,28.3972,29.84,0.4384905,22.36,22
7403,7.0,5.98,7.03,1.3362,71.78,0.5315556,1.31,5
7330,7.05,6.02,6.93,3.553501,61.7,0.5020004,3.45,6
7187,6.79,5.97,6.72,0.7380002,50.18,0.5485854,0.9,28
7412,7.13,5.97,7.17,16.1588,40.28,0.5472423,13.93,19
7330,7.0,5.99,7.03,0.9898002,74.3,0.502251,0.98,5
3875,7.2,6.05,7.29,28.28999,32.54,0.5215179,24.6,4
2812,7.22,5.91,7.35,19.2046,34.16,0.4054995,14.66,7
131,6.69,5.92,6.83,2.0482,41.72,0.5469252,2.66,8
91,6.72,6.01,6.82,3.542898,32.0,0.5512407,4.99,3
5142,6.7,5.99,6.73,0.0568,75.56,0.4676206,0.08,10
7330,6.59,5.97,6.7,0.3968002,57.38,0.6428287,0.64,29
2252,6.73,5.98,6.8,3.57,34.52,0.4849768,4.76,7
3875,7.1,6.01,7.13,5.079398,55.94,0.4863884,4.66,10
7331,7.04,5.93,7.04,11.2332,47.12,0.4427702,10.12,4
7319,7.14,5.94,7.26,14.472,42.8,0.4620202,12.06,31
5349,6.97,6.08,7.06,8.855498,51.08,0.5231103,9.95,3
7374,7.11,6.08,7.06,2.678,62.78,0.5146958,2.6,15
164,7.17,6.0,7.24,32.526,32.9,0.643011,27.8,4
5142,6.96,6.06,6.93,1.224,73.04,0.5789775,1.36,21
7394,6.96,5.94,7.05,2.5398,64.94,0.4852237,2.49,19
2812,7.04,5.95,7.02,4.523501,54.86,0.5807866,4.15,10
13777,7.2,6.07,7.21,12.9159,41.54,0.3916028,11.43,23
7396,7.52,6.05,7.44,46.01099,25.7,0.5376998,31.3,22
164,7.08,6.04,7.0,2.1216,63.32,0.4338678,2.04,12
44,6.98,6.02,7.03,0.6816,77.9,0.6085548,0.71,19
2290,7.32,6.05,7.21,27.0764,36.32,0.5425626,21.32,18
5279,6.72,6.04,6.7,0.3603999,57.74,0.5014533,0.53,29
15555,6.68,5.96,6.68,0.4319999,55.94,0.4507949,0.6,21
5029,6.64,5.92,6.67,0.0504,75.38,0.41125,0.07,24
5100,7.11,6.05,7.05,6.116199,54.86,0.4585994,5.77,7
2261,7.13,5.95,7.11,11.2926,47.84,0.5554914,9.57,2
154,7.08,5.97,7.0,10.9446,49.1,0.505879,9.86,7
15555,6.67,6.0,6.73,0.0268,81.14,0.4478467,0.04,30
15555,6.73,5.95,6.73,2.652001,37.58,0.4721342,3.4,17
2261,7.04,5.99,7.03,4.872001,57.74,0.4680453,4.64,20
7412,7.17,5.98,7.26,19.2066,37.4,0.463333,16.14,18
15555,7.02,6.1,7.13,10.5248,45.14,0.465295,11.44,4
7389,7.14,5.96,7.14,2.537,61.88,0.4892714,2.15,24
5371,7.07,5.99,7.08,4.881602,52.7,0.3897752,4.52,11
7370,7.29,5.96,7.28,21.1603,36.86,0.4795989,15.91,26
2261,6.95,5.93,6.98,1.326,72.86,0.4955894,1.3,26
7341,7.02,5.99,7.09,2.235101,67.28,0.5331764,2.17,24
131,6.7,5.98,6.7,0.4895999,55.94,0.6488282,0.68,12
603,7.06,6.0,7.08,11.8932,48.38,0.5285702,11.22,6
183,7.07,5.96,6.93,0.4329,83.3,0.5242307,0.39,26
164,6.69,6.03,6.64,0.0594,74.48,0.5033749,0.09,25
13777,7.16,6.08,7.04,7.959599,45.5,0.467507,7.37,7
150,6.74,6.02,6.87,0.3167999,52.88,0.3556623,0.44,5
7330,7.14,5.92,7.16,14.762,43.88,0.4852614,12.1,26
15555,7.37,6.01,7.35,34.61199,32.36,0.508149,25.45,20
5109,6.67,5.98,6.72,0.0414,75.38,0.3621126,0.06,23
7389,7.05,5.97,7.06,7.959603,52.88,0.507466,7.37,13
7396,6.79,6.03,6.79,3.951998,32.9,0.6122314,5.2,6
4887,6.75,6.04,6.73,0.0426,77.0,0.4657159,0.06,27
5142,6.99,5.88,7.06,1.886999,69.8,0.56727,1.7,9
2485,7.0,5.99,7.03,1.0706,73.76,0.496268,1.06,5
7393,6.59,5.87,6.73,0.3672001,57.92,0.6557901,0.51,28
7394,7.26,6.01,7.33,25.4,32.54,0.443064,20.32,18
5279,6.7,6.01,6.76,1.883699,40.64,0.5247405,2.73,10
5397,7.03,6.0,7.2,18.58121,39.38,0.4913084,18.04,30
5397,7.02,5.93,7.12,9.025201,48.92,0.5908628,8.28,4
7331,7.02,6.05,7.03,1.2513,69.44,0.4180267,1.29,9
7329,7.0,5.99,6.95,1.0807,74.66,0.5492098,1.07,3
7393,7.07,6.02,7.02,5.040001,57.92,0.5219455,4.8,8
7319,7.27,6.02,7.3,24.3125,37.58,0.4904428,19.45,25
15000,7.15,6.05,7.31,12.584,38.84,0.3671354,11.44,11
5371,7.28,6.01,7.29,25.146,31.82,0.3952092,19.8,31
5349,7.14,5.95,7.06,3.9151,53.06,0.3110418,3.29,25
15555,6.69,5.98,6.72,2.0093,39.2,0.4721077,2.83,15
131,6.95,5.94,7.0,1.4241,68.72,0.495817,1.41,8
4911,7.06,5.96,7.09,1.309,71.24,0.539834,1.19,8
7403,7.07,6.0,7.03,7.083401,53.42,0.5777236,6.62,9
2252,7.0,5.97,7.15,3.069401,61.88,0.4822731,2.98,9
5397,7.29,6.06,7.39,31.6233,28.76,0.4976575,25.71,23
7106,7.1,5.98,7.11,17.9088,41.0,0.5389615,15.99,30
7403,7.28,5.98,7.13,20.176,39.02,0.5002608,15.52,21
7341,6.75,6.08,6.67,0.6231001,48.38,0.4907969,0.93,14
7396,6.72,5.98,6.72,2.131199,40.46,0.5925397,2.88,4
13674,7.07,6.05,7.11,2.1318,61.16,0.3748393,2.09,23
5109,6.9,5.91,6.95,1.6335,62.96,0.3276947,1.65,4
4887,7.04,5.98,7.02,4.759399,59.72,0.5015606,4.49,6
7330,6.69,6.06,6.74,0.7434001,50.36,0.5306141,1.18,12
13777,6.97,5.95,7.06,2.193,68.18,0.5568581,2.15,20
5349,7.3,5.91,7.19,18.5426,37.22,0.3618495,13.34,8
3875,7.11,5.96,6.96,2.1275,62.6,0.37997,1.85,12
7369,6.94,6.02,7.1,0.9200001,73.76,0.5708359,1.0,30
167,6.97,5.92,7.02,5.764498,58.1,0.5330412,5.49,29
5397,7.19,6.05,7.25,14.6262,38.66,0.4760715,12.83,26
7389,6.7,5.95,6.6,3.66,32.9,0.4758154,4.88,19
154,6.59,5.87,6.66,0.2304001,62.6,0.5293064,0.32,13
2306,6.98,5.97,7.09,2.686601,64.4,0.5459459,2.66,5
7075,7.11,5.95,7.1,4.825601,54.68,0.4157404,4.16,17
4896,6.7,5.98,6.75,1.62,43.88,0.5982894,2.25,3
131,7.19,5.98,7.21,27.83,33.08,0.5335571,23.0,31
5397,6.92,5.99,6.96,0.1767001,87.26,0.3997512,0.19,24
5279,7.05,5.99,7.01,8.268003,51.98,0.4655657,7.8,7
2261,7.23,5.99,7.23,25.13481,35.06,0.4641992,20.27,14
2261,7.28,5.98,7.16,29.822,35.42,0.5818204,22.94,11
7389,6.71,5.99,6.71,0.2088001,52.88,0.291604,0.29,20
5100,7.02,5.93,7.05,3.836801,59.0,0.4400984,3.52,30
5404,7.08,5.93,6.96,5.9915,54.14,0.4460182,5.21,17
7341,6.64,5.93,6.78,0.0781,74.12,0.5008073,0.11,1
15000,7.02,6.0,7.15,13.2396,45.68,0.5234354,12.98,29
2261,6.97,6.04,7.04,0.3998999,77.0,0.4272169,0.43,5
2306,7.29,5.99,7.2,13.689,41.9,0.4732099,10.53,16
167,7.27,6.02,7.21,22.6125,38.12,0.5400597,18.09,8
15555,7.38,6.1,7.2,24.89601,35.96,0.5562091,19.45,1
7331,7.04,5.95,7.11,4.828701,52.52,0.3884555,4.43,16
2700,7.11,6.03,7.12,4.8384,57.56,0.484359,4.48,10
7412,7.04,5.99,6.93,0.3780001,80.6,0.3891859,0.36,19
131,7.12,5.98,7.08,5.608799,54.5,0.4509665,4.92,18
131,7.14,5.95,7.2,15.7437,44.06,0.6110957,13.23,7
7389,7.17,6.01,7.3,21.7964,37.76,0.5026402,18.79,31
167,7.02,6.02,6.95,0.32,79.52,0.3509719,0.32,28
5109,7.06,6.04,7.01,1.6218,69.08,0.5169777,1.59,5
150,7.25,5.94,7.16,27.248,36.86,0.4742845,20.8,20
167,7.06,5.97,7.09,9.057901,47.48,0.4667822,8.31,7
4911,7.08,5.98,7.04,12.782,44.06,0.4145579,11.62,6
44,7.08,6.03,6.96,4.241999,55.76,0.4207492,4.04,18
7329,7.0,5.95,7.05,2.751,59.54,0.4900534,2.62,29
15000,7.29,5.96,7.23,25.2434,34.34,0.4092648,18.98,29
183,7.04,6.04,7.02,2.41,60.8,0.645225,2.41,15
5099,7.03,6.01,7.11,3.468,56.66,0.3833874,3.4,18
5142,6.99,6.05,7.18,9.296597,48.2,0.5177996,9.89,10
7106,7.19,6.01,7.2,21.3462,36.68,0.4457245,18.09,4
78,6.75,5.97,6.68,3.798601,35.78,0.5882682,4.87,17
164,7.23,6.02,7.26,14.4716,41.18,0.5102673,11.96,18
7329,6.96,5.95,6.96,0.7676002,77.18,0.4907463,0.76,29
7106,7.2,6.05,7.17,7.463497,50.36,0.4684871,6.49,28
7374,7.01,6.05,6.97,0.7680001,77.72,0.5423386,0.8,5
7331,6.79,6.07,6.74,0.0504,75.38,0.6090631,0.07,31
2290,7.07,5.96,7.13,14.6298,44.96,0.5068723,13.18,10
3875,6.64,5.9,6.73,2.908199,39.56,0.5439386,3.93,9
603,6.77,6.03,6.72,3.226399,32.18,0.5179512,4.36,26
131,7.19,6.01,7.23,18.939,40.28,0.4703793,16.05,21
78,6.78,6.06,6.81,0.7560002,49.64,0.5973058,1.05,4
7187,7.08,6.01,7.1,17.72989,43.16,0.5437421,16.57,8
7075,7.01,6.04,7.11,0.7081002,78.44,0.5796824,0.73,28
154,7.0,5.98,6.92,1.632,69.98,0.5394321,1.6,19
164,7.08,5.97,7.04,4.728601,51.62,0.3308317,4.26,16
44,7.04,6.04,7.01,4.47,59.72,0.6450761,4.47,26
5109,6.98,5.91,7.09,1.8404,68.9,0.5535381,1.72,22
44,7.2,5.99,7.2,17.8354,41.72,0.4705034,14.74,16
3875,6.73,5.98,6.71,3.8775,34.7,0.5774303,5.17,14
15000,7.07,6.06,7.06,0.8686002,73.22,0.4773538,0.86,17
2812,7.13,5.95,7.33,17.4286,43.88,0.6001837,14.77,27
13777,6.74,6.02,6.67,0.4463999,55.22,0.4604985,0.62,7
2700,7.34,5.95,7.37,39.00341,30.56,0.5357711,28.06,21
3875,6.73,5.97,6.73,5.198401,31.82,0.5791742,6.84,16
7341,7.0,5.97,7.09,7.549901,52.16,0.4935848,7.33,10
7341,6.7,5.97,6.71,2.3141,41.0,0.5362126,3.17,21
2700,7.05,5.98,7.04,0.2996,82.04,0.3841578,0.28,19
5404,6.98,5.94,6.96,1.0712,70.52,0.4845818,1.03,29
2485,6.75,6.0,6.71,3.375,32.36,0.4674214,4.5,5
7075,7.0,6.06,7.09,1.7954,67.46,0.5773732,1.91,12
7369,6.73,6.01,6.77,0.6119998,50.54,0.6535589,0.85,2
164,7.28,6.0,7.36,27.84,32.36,0.4408881,21.75,21
7319,7.05,6.01,7.1,4.6696,54.14,0.5179838,4.49,16
2812,6.99,5.98,7.01,0.3433999,77.9,0.305233,0.34,22
7374,7.21,5.95,7.15,24.62041,37.94,0.5297226,19.54,2
44,7.01,6.01,6.91,0.56,77.9,0.5192754,0.56,26
183,7.25,6.01,7.19,18.414,41.18,0.4621025,14.85,20
5109,6.81,6.08,6.71,1.4016,43.34,0.4472441,1.92,16
2252,7.14,6.03,7.18,19.97999,39.74,0.5362307,18.0,18
7330,7.09,6.0,7.24,26.0619,37.04,0.6015274,23.91,10
2252,6.76,6.04,6.73,0.5184002,54.68,0.494132,0.72,11
7393,7.22,6.04,7.21,18.113,39.92,0.4813199,15.35,25
150,7.38,5.96,7.4,41.819,29.48,0.5258301,29.45,21
7106,7.24,5.97,7.12,23.3807,39.56,0.4998276,18.41,17
2252,6.99,5.99,6.99,0.23,86.18,0.5276864,0.23,26
5142,7.13,6.02,7.08,7.814401,51.08,0.491997,7.04,3
13777,6.72,5.98,6.71,0.1332,62.96,0.3398879,0.18,22
91,7.01,5.86,7.02,5.0945,57.2,0.4407262,4.43,21
5100,7.03,5.97,7.07,4.685202,57.38,0.4815034,4.42,16
7374,7.04,6.07,7.04,2.3959,65.66,0.5167654,2.47,14
7432,6.99,5.96,7.14,1.6171,69.44,0.6768689,1.57,31
2252,6.75,6.04,6.74,0.0213,79.16,0.3768401,0.03,31
2306,6.76,5.93,6.72,3.610502,36.32,0.5678905,4.35,15
5099,7.19,6.01,7.16,14.5848,43.34,0.441113,12.36,21
5371,7.11,6.05,7.17,28.2702,35.42,0.5517789,26.67,30
7330,6.78,6.06,6.7,0.1512001,66.92,0.5874302,0.21,13
131,7.23,6.02,7.06,16.2624,42.98,0.4853783,13.44,29
7403,7.1,6.08,7.03,1.6014,68.54,0.4667177,1.57,7
183,7.04,6.04,7.04,4.02,60.98,0.5561942,4.02,28
4887,7.02,6.01,7.11,7.989098,51.26,0.5974779,7.91,3
5029,6.8,6.04,6.8,4.240801,32.18,0.5582006,5.58,2
4887,6.7,5.94,6.81,4.932398,32.36,0.5555109,6.49,9
13777,7.02,5.93,7.11,9.265001,43.16,0.4250086,8.5,25
7394,7.35,6.01,7.31,25.72799,32.0,0.4410816,19.2,31
7075,7.18,5.98,7.26,20.172,41.0,0.5204956,16.81,15
5029,7.15,6.04,7.13,10.8891,49.28,0.5755149,9.81,29
7393,7.05,6.09,7.0,7.5936,52.52,0.5745618,7.91,2
7330,6.97,5.99,6.98,1.7248,68.0,0.5270926,1.76,11
7106,7.06,6.03,7.02,3.903699,60.8,0.5027938,3.79,9
44,7.13,5.92,7.08,7.2721,54.14,0.4734786,6.01,24
5109,6.92,6.04,7.11,3.1856,59.9,0.570566,3.62,24
4896,6.7,6.06,6.76,2.0608,37.76,0.4689577,3.22,15
5029,7.1,6.01,7.1,8.229498,49.28,0.4233128,7.55,9
5029,6.89,6.11,7.06,0.6317998,78.8,0.6457156,0.81,30
2812,7.01,6.0,7.08,8.453702,52.16,0.5517157,8.37,29
44,6.79,6.07,6.8,1.0512,42.62,0.549564,1.46,23
7374,7.07,5.97,7.12,8.052003,44.78,0.3759132,7.32,6
7396,6.96,6.04,7.03,3.358,60.8,0.5764176,3.65,11
2261,6.79,6.07,6.77,0.7703998,47.12,0.4456828,1.07,30
5099,7.16,5.95,7.06,3.5332,58.64,0.3752752,2.92,2
5100,7.04,6.02,7.09,2.2542,67.28,0.5562677,2.21,27
2306,6.76,5.99,6.75,2.286901,40.46,0.5549428,2.97,10
7319,7.07,6.08,7.02,1.881,67.64,0.4891031,1.9,24
5100,7.02,6.06,7.11,3.5808,60.62,0.586152,3.73,2
4887,7.16,6.01,7.0,4.841498,54.86,0.4219634,4.21,18
5100,6.58,6.05,6.65,0.1483999,64.58,0.5062458,0.28,19
7370,7.13,6.06,7.0,3.391901,60.98,0.5019243,3.17,24
7370,7.2,6.07,7.11,7.593597,42.26,0.2949786,6.72,27
4887,7.11,5.97,7.11,13.7826,47.3,0.5218484,12.09,28
5029,7.23,5.96,7.18,13.1318,42.98,0.420931,10.34,21
7329,7.19,5.97,7.22,21.55741,40.1,0.5466878,17.67,18
7331,6.66,5.92,6.69,2.767599,35.6,0.4546356,3.74,16
150,6.76,6.02,6.73,2.693601,37.76,0.4783628,3.64,16
4887,7.06,6.04,7.04,9.9552,45.5,0.3957313,9.76,11
603,7.15,5.9,7.12,23.1875,34.34,0.4170245,18.55,31
7403,7.04,5.92,7.05,4.759999,56.84,0.4586927,4.25,5
2812,7.18,5.99,7.14,24.99,38.3,0.5045453,21.0,10
2261,7.11,6.0,7.19,11.4441,48.02,0.5232335,10.31,4
2812,7.11,5.9,7.04,9.6558,48.38,0.4176355,7.98,5
78,7.11,5.98,7.17,12.5769,44.78,0.50521,11.13,1
7330,7.23,6.02,7.13,16.2261,43.34,0.5617189,13.41,1
7374,7.05,5.99,6.98,1.855001,63.14,0.3367249,1.75,20
5371,7.26,5.99,7.29,36.81731,33.44,0.6862918,28.99,11
7319,7.05,5.97,7.01,8.218803,53.06,0.7015313,7.61,21
15000,7.18,6.0,7.13,16.874,43.16,0.5527254,14.3,29
3875,6.7,5.99,6.7,0.0355,78.62,0.4592102,0.05,27
7370,7.29,5.93,7.32,30.0832,31.82,0.4323108,22.12,21
5142,7.01,5.98,7.03,12.6999,45.5,0.5399844,12.33,7
7187,7.13,6.1,7.05,3.017901,57.02,0.3970467,2.93,30
13674,7.02,5.94,7.13,5.5296,57.92,0.6571242,5.12,20
7187,7.26,6.06,7.12,20.352,40.28,0.5935933,16.96,18
7369,7.04,6.0,7.03,1.3312,68.36,0.465205,1.28,9
7432,7.2,5.94,7.22,15.8634,41.0,0.4604569,12.59,13
4911,6.79,6.07,6.77,0.0288,81.86,0.4824557,0.04,15
4911,7.16,5.99,7.29,24.4413,35.06,0.4769133,20.89,8
5099,7.04,5.99,7.09,5.344501,54.68,0.4418485,5.09,22
7389,7.28,5.99,7.14,13.67401,46.94,0.5472768,10.6,28
7187,7.3,5.99,7.39,25.00791,36.86,0.4909203,19.09,3
15555,7.38,6.15,7.2,28.8804,33.08,0.5888799,23.48,28
13674,7.34,6.09,7.21,25.0375,36.68,0.5217941,20.03,2
78,6.67,6.0,6.7,0.1608,66.56,0.562522,0.24,1
5404,7.06,5.94,7.05,1.0976,73.4,0.4615685,0.98,3
78,7.09,6.05,7.04,5.4288,56.3,0.536809,5.22,17
2290,7.3,6.07,7.23,14.637,37.76,0.5126634,11.9,22
7370,6.95,6.08,7.06,1.4442,65.66,0.4350362,1.66,3
5109,7.07,5.96,7.01,5.416801,55.22,0.4592452,4.88,30
7396,7.03,5.99,7.01,3.723202,57.74,0.3976958,3.58,13
7432,7.25,6.11,7.11,11.0922,40.64,0.3167931,9.73,13
7329,7.16,6.0,7.11,12.006,44.42,0.47638,10.35,21
44,6.98,5.97,7.03,0.5656002,74.48,0.3373369,0.56,17
13777,7.03,6.05,7.03,5.929,56.12,0.5252121,6.05,16
